schema_id,dataset,features,raw_features,nb_features,nb_raw_features,num_valid_tests,num_invalid_tests,size_valid_tests,size_invalid_tests,full_size,stripped_size
Github_easy---o10086.json,Github_easy,"['additionalProperties', 'pattern']","['_boolSchema', 'properties', 'type', 'type:object', 'type:string']",2,5,1,3,51,184,239,219
Github_easy---o10088.json,Github_easy,"['additionalProperties', 'items', 'pattern']","['_boolSchema', 'properties', 'type', 'type:array', 'type:object', 'type:string']",3,6,1,4,253,1297,360,327
Github_easy---o10091.json,Github_easy,['@minmaxInteger'],"['minimum', 'properties', 'type', 'type:boolean', 'type:integer', 'type:object']",1,6,1,1,42,41,198,146
Github_easy---o10093.json,Github_easy,"['@minmaxInteger', 'additionalProperties']","['_boolSchema', 'minimum', 'properties', 'required', 'type', 'type:integer', 'type:object', 'type:string']",2,8,1,2,256,329,452,406
Github_easy---o10094.json,Github_easy,"['additionalProperties', 'format', 'format:']","['_boolSchema', 'properties', 'required', 'type', 'type:object', 'type:string']",3,6,1,2,140,293,445,426
Github_easy---o10295.json,Github_easy,"['additionalProperties', 'items']","['$schema', '_boolSchema', 'properties', 'required', 'type', 'type:array', 'type:boolean', 'type:integer', 'type:number', 'type:object', 'type:string']",2,11,1,3,363,442,418,418
Github_easy---o10298.json,Github_easy,"['additionalProperties', 'items']","['$schema', '_boolSchema', 'properties', 'required', 'type', 'type:array', 'type:boolean', 'type:integer', 'type:number', 'type:object', 'type:string']",2,11,1,3,446,510,448,448
Github_easy---o10318.json,Github_easy,"['additionalProperties', 'format', 'format:uri', 'items']","['_boolSchema', 'properties', 'required', 'type', 'type:array', 'type:object', 'type:string']",4,7,0,0,0,0,224,208
Github_easy---o10337.json,Github_easy,['$ref'],"['$schema', 'definitions', 'properties', 'required', 'type', 'type:object', 'type:string']",1,7,1,0,53,0,354,333
Github_easy---o10467.json,Github_easy,"['@minmaxItems', 'items']","['minItems', 'properties', 'required', 'type', 'type:array', 'type:object', 'type:string']",2,7,2,1,286,94,525,215
Github_easy---o10468.json,Github_easy,['additionalProperties'],"['$schema', '_boolSchema', 'properties', 'required', 'type', 'type:object', 'type:string']",1,7,2,1,105,82,284,206
Github_easy---o10475.json,Github_easy,"['@siblingKeys', 'const', 'oneOf']","['$schema', 'properties', 'required', 'type', 'type:integer', 'type:object', 'type:string']",3,7,2,2,175,162,424,311
Github_easy---o10514.json,Github_easy,"['additionalProperties', 'enum']","['_boolSchema', 'properties', 'required', 'type', 'type:object', 'type:string']",2,6,1,3,147,792,459,426
Github_easy---o10526.json,Github_easy,"['additionalProperties', 'format', 'format:date-time']","['_boolSchema', 'properties', 'required', 'type', 'type:[]', 'type:null', 'type:number', 'type:object', 'type:string']",3,9,2,9,278,1400,534,512
Github_easy---o10876.json,Github_easy,"['@minmaxItems', '@minmaxLength', 'items']","['$schema', 'minItems', 'minLength', 'properties', 'required', 'type', 'type:array', 'type:object', 'type:string']",3,9,1,3,267,411,421,405
Github_easy---o1114.json,Github_easy,[],"['$schema', 'properties', 'required', 'type', 'type:boolean', 'type:object', 'type:string']",0,7,2,1,387,171,336,336
Github_easy---o11170.json,Github_easy,"['$ref', 'items']","['$schema', 'definitions', 'properties', 'required', 'type', 'type:array', 'type:integer', 'type:object', 'type:string']",2,9,2,2,629,599,524,498
Github_easy---o11171.json,Github_easy,"['anyOf', 'items']","['$schema', 'properties', 'required', 'type', 'type:array', 'type:integer', 'type:null', 'type:object', 'type:string']",2,9,2,6,1236,3522,954,927
Github_easy---o11172.json,Github_easy,['items'],"['$schema', 'properties', 'required', 'type', 'type:array', 'type:object', 'type:string']",1,7,1,3,232,376,301,301
Github_easy---o11173.json,Github_easy,"['anyOf', 'items']","['$schema', 'properties', 'required', 'type', 'type:array', 'type:integer', 'type:null', 'type:object', 'type:string']",2,9,2,4,558,939,484,457
Github_easy---o11174.json,Github_easy,['items'],"['$schema', 'properties', 'required', 'type', 'type:array', 'type:object', 'type:string']",1,7,1,2,399,416,343,343
Github_easy---o11187.json,Github_easy,['additionalProperties'],"['$schema', '_boolSchema', 'properties', 'type', 'type:object', 'type:string']",1,6,2,2,210,198,343,165
Github_easy---o11513.json,Github_easy,['enum'],"['$schema', 'properties', 'required', 'type', 'type:integer', 'type:number', 'type:object', 'type:string']",1,8,1,1,141,144,448,412
Github_easy---o11787.json,Github_easy,['items'],"['$schema', 'properties', 'required', 'type', 'type:array', 'type:boolean', 'type:integer', 'type:object', 'type:string']",1,9,2,3,598,882,550,550
Github_easy---o11794.json,Github_easy,[],"['$schema', 'properties', 'required', 'type', 'type:boolean', 'type:integer', 'type:null', 'type:object', 'type:string']",0,9,2,2,539,494,459,459
Github_easy---o11796.json,Github_easy,[],"['$schema', 'properties', 'required', 'type', 'type:boolean', 'type:integer', 'type:null', 'type:object', 'type:string']",0,9,1,3,88,266,311,311
Github_easy---o11798.json,Github_easy,['items'],"['$schema', 'properties', 'required', 'type', 'type:array', 'type:boolean', 'type:integer', 'type:object', 'type:string']",1,9,2,2,600,597,519,519
Github_easy---o11801.json,Github_easy,['items'],"['$schema', 'properties', 'required', 'type', 'type:array', 'type:null', 'type:object', 'type:string']",1,8,1,1,200,177,514,514
Github_easy---o11859.json,Github_easy,['items'],"['$schema', 'properties', 'required', 'type', 'type:array', 'type:object', 'type:string']",1,7,2,2,220,210,389,346
Github_easy---o1190.json,Github_easy,"['@minmaxItems', 'items']","['$schema', 'minItems', 'properties', 'required', 'type', 'type:array', 'type:integer', 'type:object', 'type:string']",2,9,1,1,166,56,535,231
Github_easy---o12068.json,Github_easy,"['additionalProperties', 'items']","['_boolSchema', 'properties', 'required', 'type', 'type:array', 'type:object', 'type:string']",2,7,1,2,77,321,266,168
Github_easy---o12069.json,Github_easy,"['additionalProperties', 'items', 'pattern']","['_boolSchema', 'properties', 'required', 'type', 'type:array', 'type:object', 'type:string']",3,7,1,3,305,715,412,315
Github_easy---o12070.json,Github_easy,"['additionalProperties', 'pattern']","['_boolSchema', 'properties', 'required', 'type', 'type:object', 'type:string']",2,6,2,3,214,307,454,354
Github_easy---o12078.json,Github_easy,"['additionalProperties', 'pattern']","['_boolSchema', 'properties', 'required', 'type', 'type:object', 'type:string']",2,6,2,5,373,987,514,408
Github_easy---o12085.json,Github_easy,"['additionalProperties', 'items']","['_boolSchema', 'properties', 'required', 'type', 'type:array', 'type:number', 'type:object', 'type:string']",2,8,1,2,253,546,398,296
Github_easy---o12086.json,Github_easy,"['additionalProperties', 'pattern']","['_boolSchema', 'properties', 'required', 'type', 'type:object', 'type:string']",2,6,2,3,127,174,300,195
Github_easy---o12087.json,Github_easy,"['additionalProperties', 'items']","['_boolSchema', 'properties', 'required', 'type', 'type:array', 'type:number', 'type:object', 'type:string']",2,8,1,1,131,318,318,223
Github_easy---o12088.json,Github_easy,"['additionalProperties', 'pattern']","['_boolSchema', 'properties', 'required', 'type', 'type:object', 'type:string']",2,6,2,2,169,171,468,370
Github_easy---o12176.json,Github_easy,"['additionalProperties', 'format', 'format:email', 'format:uri']","['$schema', '_boolSchema', 'id', 'properties', 'required', 'type', 'type:object', 'type:string']",4,8,1,1,256,227,526,482
Github_easy---o12182.json,Github_easy,['additionalProperties'],"['$schema', '_boolSchema', 'id', 'properties', 'required', 'type', 'type:object', 'type:string']",1,8,2,3,123,137,314,298
Github_easy---o12209.json,Github_easy,"['@minmaxLength', 'enum']","['minLength', 'properties', 'required', 'type', 'type:object', 'type:string']",2,6,1,1,53,48,173,173
Github_easy---o12214.json,Github_easy,['additionalProperties'],"['$schema', '_boolSchema', 'properties', 'required', 'type', 'type:integer', 'type:object', 'type:string']",1,8,2,3,167,258,292,229
Github_easy---o12215.json,Github_easy,['additionalProperties'],"['$schema', '_boolSchema', 'properties', 'required', 'type', 'type:boolean', 'type:integer', 'type:object', 'type:string']",1,9,2,2,386,448,517,365
Github_easy---o12218.json,Github_easy,['additionalProperties'],"['$schema', '_boolSchema', 'properties', 'type', 'type:boolean', 'type:integer', 'type:object', 'type:string']",1,8,2,3,394,698,484,332
Github_easy---o12220.json,Github_easy,"['@minmaxLength', 'additionalProperties']","['$schema', '_boolSchema', 'minLength', 'properties', 'required', 'type', 'type:object', 'type:string']",2,8,1,1,58,43,216,216
Github_easy---o12222.json,Github_easy,['additionalProperties'],"['$schema', '_boolSchema', 'properties', 'required', 'type', 'type:object', 'type:string']",1,7,1,2,92,217,302,302
Github_easy---o12223.json,Github_easy,"['additionalProperties', 'items']","['$schema', '_boolSchema', 'properties', 'type', 'type:array', 'type:object', 'type:string']",2,7,1,3,109,364,321,321
Github_easy---o12228.json,Github_easy,"['@minmaxItems', 'additionalProperties', 'items']","['$schema', '_boolSchema', 'minItems', 'properties', 'required', 'type', 'type:array', 'type:object', 'type:string']",3,9,2,3,408,471,471,471
Github_easy---o12229.json,Github_easy,"['@minmaxItems', 'additionalProperties', 'items']","['$schema', '_boolSchema', 'minItems', 'properties', 'required', 'type', 'type:array', 'type:integer', 'type:object', 'type:string']",3,10,2,3,357,279,685,408
Github_easy---o12235.json,Github_easy,"['@minmaxItems', 'additionalProperties', 'items']","['$schema', '_boolSchema', 'maxItems', 'properties', 'required', 'type', 'type:array', 'type:integer', 'type:object', 'type:string']",3,10,1,2,85,318,685,408
Github_easy---o12254.json,Github_easy,['additionalProperties'],"['$schema', '_boolSchema', 'properties', 'required', 'type', 'type:[]', 'type:boolean', 'type:integer', 'type:null', 'type:object', 'type:string']",1,11,2,5,404,1000,498,498
Github_easy---o12290.json,Github_easy,['items'],"['$schema', 'properties', 'required', 'type', 'type:array', 'type:boolean', 'type:number']",1,7,1,2,189,407,506,465
Github_easy---o12299.json,Github_easy,"['@minmaxInteger', 'enum', 'items']","['$id', '$schema', 'minimum', 'properties', 'required', 'type', 'type:array', 'type:number', 'type:object', 'type:string']",3,10,2,5,541,1298,495,495
Github_easy---o12368.json,Github_easy,"['format', 'format:country-code']","['properties', 'type', 'type:object', 'type:string']",2,4,2,0,335,0,468,255
Github_easy---o12381.json,Github_easy,"['format', 'format:date']","['properties', 'type', 'type:[]', 'type:integer', 'type:null', 'type:object', 'type:string']",2,7,2,7,111,455,474,166
Github_easy---o12387.json,Github_easy,"['@minmaxLength', 'format', 'format:source-category']","['maxLength', 'minLength', 'properties', 'required', 'type', 'type:boolean', 'type:object', 'type:string']",3,8,2,2,147,134,204,204
Github_easy---o12418.json,Github_easy,"['$ref', '@minmaxLength']","['definitions', 'maxLength', 'minLength', 'properties', 'required', 'type', 'type:string']",2,7,0,0,0,0,1378,295
Github_easy---o12483.json,Github_easy,"['additionalProperties', 'enum', 'items']","['$schema', '_boolSchema', 'id', 'properties', 'required', 'type', 'type:array', 'type:object', 'type:string']",3,9,1,2,86,162,489,489
Github_easy---o12489.json,Github_easy,['additionalProperties'],"['$schema', '_boolSchema', 'id', 'properties', 'type', 'type:object', 'type:string']",1,7,2,2,564,531,507,444
Github_easy---o12490.json,Github_easy,['additionalProperties'],"['$schema', '_boolSchema', 'id', 'properties', 'type', 'type:object', 'type:string']",1,7,1,1,90,88,295,232
Github_easy---o12494.json,Github_easy,['additionalProperties'],"['$schema', '_boolSchema', 'id', 'properties', 'type', 'type:object', 'type:string']",1,7,2,2,376,372,372,309
Github_easy---o12503.json,Github_easy,[],"['$schema', 'properties', 'required', 'type', 'type:object', 'type:string']",0,6,1,1,27,15,233,135
Github_easy---o12604.json,Github_easy,['pattern'],"['$schema', 'properties', 'required', 'type', 'type:object', 'type:string']",1,6,1,2,51,101,482,265
Github_easy---o12607.json,Github_easy,['@minmaxInteger'],"['$schema', 'minimum', 'properties', 'type', 'type:integer', 'type:object', 'type:string']",1,7,1,1,41,40,421,192
Github_easy---o12608.json,Github_easy,"['enum', 'items']","['$schema', 'properties', 'type', 'type:array', 'type:object', 'type:string']",2,6,1,2,119,263,522,346
Github_easy---o12611.json,Github_easy,['enum'],"['$schema', 'properties', 'type', 'type:object', 'type:string']",1,5,1,1,85,81,741,265
Github_easy---o12617.json,Github_easy,['pattern'],"['$schema', 'properties', 'required', 'type', 'type:integer', 'type:object', 'type:string']",1,7,2,4,375,740,452,452
Github_easy---o12619.json,Github_easy,"['$ref', 'items', 'pattern']","['$schema', 'definitions', 'properties', 'required', 'type', 'type:array', 'type:integer', 'type:object', 'type:string']",3,9,2,5,498,1202,648,648
Github_easy---o12620.json,Github_easy,['pattern'],"['$schema', 'definitions', 'properties', 'required', 'type', 'type:integer', 'type:object', 'type:string']",1,8,1,4,183,702,658,658
Github_easy---o12621.json,Github_easy,['pattern'],"['$schema', 'properties', 'required', 'type', 'type:[]', 'type:integer', 'type:object', 'type:string']",1,8,2,9,472,2200,619,619
Github_easy---o12622.json,Github_easy,"['@minmaxItems', 'items', 'pattern']","['$schema', 'minItems', 'properties', 'required', 'type', 'type:array', 'type:object', 'type:string']",3,8,0,0,0,0,475,455
Github_easy---o12624.json,Github_easy,"['$ref', 'pattern']","['$schema', 'definitions', 'properties', 'required', 'type', 'type:integer', 'type:object', 'type:string']",2,8,1,3,239,692,657,657
Github_easy---o12626.json,Github_easy,[],"['$schema', 'properties', 'required', 'type', 'type:[]', 'type:array', 'type:integer', 'type:null', 'type:object', 'type:string']",0,10,2,5,583,903,333,333
Github_easy---o12629.json,Github_easy,"['additionalProperties', 'additionalProperties:object', 'const']","['$id', '$schema', 'properties', 'type', 'type:object', 'type:string']",3,6,2,4,244,544,662,245
Github_easy---o12642.json,Github_easy,[],"['$schema', 'properties', 'required', 'type', 'type:string']",0,5,1,2,24,25,208,113
Github_easy---o12643.json,Github_easy,"['format', 'format:url']","['$schema', 'properties', 'required', 'type', 'type:object', 'type:string']",2,6,2,0,152,0,267,191
Github_easy---o12644.json,Github_easy,"['format', 'format:grid']","['$schema', 'properties', 'required', 'type', 'type:object', 'type:string']",2,6,1,5,68,185,260,209
Github_easy---o12647.json,Github_easy,[],"['$schema', 'properties', 'required', 'type', 'type:object', 'type:string']",0,6,1,2,68,90,328,152
Github_easy---o12649.json,Github_easy,"['$ref', 'allOf', 'enum']","['$schema', 'definitions', 'properties', 'type', 'type:object', 'type:string']",3,6,1,4,124,467,353,353
Github_easy---o12970.json,Github_easy,['additionalProperties'],"['$schema', '_boolSchema', 'properties', 'required', 'type', 'type:[]', 'type:integer', 'type:object', 'type:string']",1,9,2,3,545,806,814,360
Github_easy---o13017.json,Github_easy,"['$ref', 'format', 'format:email']","['$schema', 'definitions', 'properties', 'type', 'type:[]', 'type:object', 'type:string']",3,7,2,3,120,147,974,376
Github_easy---o13111.json,Github_easy,"['@minmaxInteger', 'pattern']","['$schema', 'id', 'minimum', 'properties', 'required', 'type', 'type:boolean', 'type:integer', 'type:object', 'type:string']",2,10,1,3,164,490,748,448
Github_easy---o13122.json,Github_easy,['enum'],"['$schema', 'id', 'properties', 'required', 'type', 'type:object', 'type:string']",1,7,1,2,97,191,472,312
Github_easy---o13129.json,Github_easy,"['$ref', '@siblingKeys', 'enum', 'oneOf']","['$schema', 'definitions', 'properties', 'required', 'type', 'type:[]', 'type:boolean', 'type:null', 'type:number', 'type:object', 'type:string']",4,11,2,2,509,527,691,613
Github_easy---o13140.json,Github_easy,"['$ref', 'additionalProperties', 'items']","['$schema', '_boolSchema', 'allOf:trivial', 'definitions', 'properties', 'required', 'type', 'type:array', 'type:object', 'type:string']",3,10,1,1,54,51,575,281
Github_easy---o13142.json,Github_easy,['additionalProperties'],"['_boolSchema', 'properties', 'required', 'type', 'type:object', 'type:string']",1,6,2,3,126,271,265,156
Github_easy---o1316.json,Github_easy,"['enum', 'format', 'format:email']","['$schema', 'properties', 'required', 'type', 'type:boolean', 'type:integer', 'type:object', 'type:string']",3,8,1,3,94,270,591,352
Github_easy---o1327.json,Github_easy,"['$ref', '@minmaxLength', '@siblingKeys', 'allOf', 'anyOf', 'enum', 'not', 'oneOf', 'pattern']","['$schema', 'definitions', 'id', 'maxLength', 'minLength', 'properties', 'required', 'type', 'type:null', 'type:object', 'type:string']",9,11,0,0,0,0,2335,2208
Github_easy---o1334.json,Github_easy,['items'],"['_requiredEmpty', 'properties', 'required', 'type', 'type:array', 'type:boolean', 'type:object', 'type:string']",1,8,2,2,165,167,639,156
Github_easy---o13435.json,Github_easy,['items'],"['$schema', 'properties', 'required', 'type', 'type:array', 'type:integer', 'type:object', 'type:string']",1,8,1,2,96,64,207,183
Github_easy---o13652.json,Github_easy,"['@minmaxInteger', 'format', 'format:date-time', 'pattern']","['$schema', 'minimum', 'properties', 'required', 'type', 'type:integer', 'type:object', 'type:string']",4,8,2,8,350,1321,366,330
Github_easy---o13666.json,Github_easy,"['enum', 'items']","['properties', 'type', 'type:array', 'type:object', 'type:string']",2,5,1,2,525,784,680,532
Github_easy---o13667.json,Github_easy,['items'],"['properties', 'required', 'type', 'type:[]', 'type:array', 'type:null', 'type:object', 'type:string']",1,8,1,1,237,229,229,178
Github_easy---o13668.json,Github_easy,"['format', 'format:url', 'items']","['properties', 'type', 'type:[]', 'type:array', 'type:null', 'type:object', 'type:string']",3,7,0,0,0,0,231,148
Github_easy---o13671.json,Github_easy,"['items', 'oneOf']","['$schema', 'properties', 'required', 'type', 'type:[]', 'type:array', 'type:boolean', 'type:integer', 'type:null', 'type:object']",2,10,1,3,53,169,284,284
Github_easy---o13683.json,Github_easy,['items'],"['$schema', 'properties', 'required', 'type', 'type:array', 'type:boolean', 'type:integer', 'type:object', 'type:string']",1,9,1,3,165,163,255,255
Github_easy---o13687.json,Github_easy,[],"['definitions', 'properties', 'required', 'type', 'type:object', 'type:string']",0,6,1,2,191,371,306,111
Github_easy---o13688.json,Github_easy,[],"['definitions', 'properties', 'required', 'type', 'type:object', 'type:string']",0,6,2,2,521,510,429,111
Github_easy---o13701.json,Github_easy,"['@minmaxInteger', 'additionalProperties', 'enum']","['$schema', '_boolSchema', 'maximum', 'minimum', 'properties', 'type', 'type:integer', 'type:object', 'type:string']",3,9,2,4,150,311,600,250
Github_easy---o13837.json,Github_easy,['additionalProperties'],"['_boolSchema', 'properties', 'required', 'type', 'type:object', 'type:string']",1,6,2,3,243,404,534,261
Github_easy---o13947.json,Github_easy,"['additionalProperties', 'items']","['_boolSchema', 'properties', 'type', 'type:array', 'type:object', 'type:string']",2,6,2,2,260,315,216,216
Github_easy---o13948.json,Github_easy,"['additionalProperties', 'items']","['_boolSchema', 'properties', 'type', 'type:array', 'type:number', 'type:object', 'type:string']",2,7,2,3,156,273,166,166
Github_easy---o13977.json,Github_easy,"['@minmaxItems', 'items']","['minItems', 'properties', 'type', 'type:array', 'type:integer', 'type:object', 'type:string']",2,7,1,3,56,158,256,172
Github_easy---o13981.json,Github_easy,"['enum', 'items']","['properties', 'type', 'type:array', 'type:integer', 'type:object', 'type:string']",2,6,2,3,160,226,310,211
Github_easy---o13985.json,Github_easy,"['@minmaxItems', 'items']","['minItems', 'properties', 'type', 'type:array', 'type:integer', 'type:object', 'type:string']",2,7,1,2,57,100,430,172
Github_easy---o13989.json,Github_easy,"['enum', 'items']","['properties', 'type', 'type:array', 'type:integer', 'type:object', 'type:string']",2,6,1,3,82,241,542,211
Github_easy---o14025.json,Github_easy,[],"['$schema', 'properties', 'required', 'type', 'type:object', 'type:string']",0,6,2,2,809,793,498,242
Github_easy---o14406.json,Github_easy,"['format', 'format:path']","['_requiredEmpty', 'properties', 'required', 'type', 'type:boolean', 'type:object', 'type:string']",2,7,2,0,188,0,416,138
Github_easy---o14451.json,Github_easy,[],"['$schema', 'properties', 'type', 'type:number', 'type:object', 'type:string']",0,6,2,2,126,109,208,208
Github_easy---o14452.json,Github_easy,[],"['$schema', 'properties', 'type', 'type:number', 'type:object', 'type:string']",0,6,2,3,126,195,208,208
Github_easy---o14461.json,Github_easy,[],"['$schema', 'properties', 'required', 'type', 'type:boolean', 'type:integer', 'type:object', 'type:string']",0,8,2,1,401,200,757,344
Github_easy---o14464.json,Github_easy,[],"['$schema', 'properties', 'type', 'type:boolean', 'type:object', 'type:string']",0,6,1,1,356,338,554,221
Github_easy---o14471.json,Github_easy,"['@minmaxItems', 'additionalProperties', 'items', 'patternProperties']","['$schema', '_boolSchema', 'minItems', 'type', 'type:array', 'type:object', 'type:string']",4,7,1,2,95,187,271,188
Github_easy---o14479.json,Github_easy,[],"['$schema', 'properties', 'required', 'type', 'type:boolean', 'type:integer', 'type:object', 'type:string']",0,8,1,0,230,0,884,455
Github_easy---o14490.json,Github_easy,[],"['$schema', 'properties', 'required', 'type', 'type:object', 'type:string']",0,6,2,1,367,163,630,246
Github_easy---o14491.json,Github_easy,[],"['$schema', 'properties', 'required', 'type', 'type:object', 'type:string']",0,6,2,0,337,0,479,214
Github_easy---o14509.json,Github_easy,"['$ref', '@minmaxInteger']","['definitions', 'minimum', 'properties', 'type', 'type:boolean', 'type:integer', 'type:object']",2,7,2,3,177,266,342,342
Github_easy---o14530.json,Github_easy,['items'],"['$schema', 'properties', 'required', 'type', 'type:array', 'type:boolean', 'type:integer', 'type:object', 'type:string']",1,9,2,3,678,1023,463,463
Github_easy---o14741.json,Github_easy,[],"['$schema', 'properties', 'type', 'type:boolean', 'type:object']",0,5,1,3,85,277,595,209
Github_easy---o14743.json,Github_easy,['items'],"['$schema', 'properties', 'required', 'type', 'type:array', 'type:object', 'type:string']",1,7,2,2,266,243,542,298
Github_easy---o15101.json,Github_easy,[],"['properties', 'required', 'type', 'type:object', 'type:string']",0,5,1,0,66,0,481,123
Github_easy---o15105.json,Github_easy,"['additionalProperties', 'enum']","['_boolSchema', 'properties', 'required', 'type', 'type:integer', 'type:object', 'type:string']",2,7,2,2,206,267,769,247
Github_easy---o15111.json,Github_easy,"['items', 'pattern']","['$schema', 'definitions', 'id', 'properties', 'required', 'type', 'type:array', 'type:object', 'type:string']",2,9,1,3,260,247,516,465
Github_easy---o15726.json,Github_easy,"['@minmaxInteger', '@minmaxItems', 'items']","['$schema', 'id', 'minItems', 'minimum', 'type', 'type:array', 'type:integer']",3,7,1,7,5,705,354,218
Github_easy---o16041.json,Github_easy,"['additionalProperties', 'additionalProperties:object']","['$schema', '_boolSchema', 'properties', 'required', 'type', 'type:null', 'type:object', 'type:string']",2,8,1,2,117,213,609,333
Github_easy---o16365.json,Github_easy,"['@minmaxItems', 'additionalProperties', 'items']","['$schema', '_boolSchema', 'minItems', 'properties', 'required', 'type', 'type:array', 'type:object', 'type:string']",3,9,1,1,39,13,258,200
Github_easy---o16739.json,Github_easy,[],"['$schema', 'properties', 'required', 'type', 'type:object', 'type:string']",0,6,1,0,176,0,403,297
Github_easy---o17139.json,Github_easy,['additionalProperties'],"['_boolSchema', 'properties', 'required', 'type', 'type:boolean', 'type:object', 'type:string']",1,7,2,2,185,168,262,202
Github_easy---o17393.json,Github_easy,"['@minmaxLength', 'enum', 'items']","['$schema', 'maxLength', 'properties', 'required', 'type', 'type:array', 'type:object', 'type:string']",3,8,1,2,127,396,760,424
Github_easy---o17401.json,Github_easy,[],"['$schema', 'properties', 'required', 'type', 'type:number', 'type:object', 'type:string']",0,7,2,0,322,0,732,281
Github_easy---o17408.json,Github_easy,['enum'],"['$schema', 'properties', 'required', 'type', 'type:object', 'type:string']",1,6,2,3,448,616,1005,436
Github_easy---o1741.json,Github_easy,"['$ref', 'enum']","['$schema', 'definitions', 'id', 'properties', 'required', 'type', 'type:object', 'type:string']",2,8,0,0,0,0,794,568
Github_easy---o17424.json,Github_easy,['@minmaxInteger'],"['$schema', 'maximum', 'minimum', 'properties', 'required', 'type', 'type:number', 'type:object']",1,8,2,5,52,122,398,192
Github_easy---o17437.json,Github_easy,['additionalProperties'],"['$schema', '_boolSchema', 'properties', 'required', 'type', 'type:object', 'type:string']",1,7,2,2,82,117,514,190
Github_easy---o17438.json,Github_easy,['additionalProperties'],"['$schema', '_boolSchema', 'properties', 'required', 'type', 'type:object', 'type:string']",1,7,2,2,82,114,377,190
Github_easy---o17460.json,Github_easy,"['@minmaxInteger', 'additionalProperties', 'multipleOf', 'multipleOf:0.01']","['$schema', '_boolSchema', 'minimum', 'properties', 'required', 'type', 'type:number', 'type:object']",4,8,2,3,31,49,296,192
Github_easy---o17543.json,Github_easy,"['$ref', '@minmaxLength', 'enum']","['$schema', 'definitions', 'maxLength', 'minLength', 'properties', 'required', 'type', 'type:object', 'type:string']",3,9,1,2,420,829,537,401
Github_easy---o17544.json,Github_easy,['@minmaxLength'],"['$schema', 'maxLength', 'minLength', 'properties', 'required', 'type', 'type:object', 'type:string']",1,8,1,3,56,105,338,229
Github_easy---o17545.json,Github_easy,"['@minmaxLength', 'const']","['$schema', 'maxLength', 'minLength', 'properties', 'required', 'type', 'type:object', 'type:string']",2,8,1,4,99,355,409,284
Github_easy---o17546.json,Github_easy,"['additionalProperties', 'pattern']","['$schema', '_boolSchema', 'properties', 'required', 'type', 'type:object', 'type:string']",2,7,2,4,110,198,362,270
Github_easy---o17547.json,Github_easy,"['additionalProperties', 'enum', 'items', 'pattern']","['$schema', '_boolSchema', 'properties', 'required', 'type', 'type:array', 'type:object', 'type:string']",4,8,2,3,256,366,495,405
